id,EdadNÚMEROCONCRETO,Género,Niveldeestudios,Creenciasreligiosas,Quéedadconsideraslamejorpa,Cuántoshijostegustaríatener,Aborto,fecundacioninvitro,adopcion,gestacionsubrogada,notendriahijos,FamiliaMONOparental,FamiliaHOMOsexual,Divorciados,Recurriraldivorcio,Matrimonio_hijos,Hijodetupareja,SituviesesunhijoQuétipode,GENERO2,NIVEL_ESTUDIOS2,CREENCIAS_RELIGIOSAS2,INVITRO2,ADOPCION2,GESTACION_SUBROGADA2,NO_TENDRÍA_HIJOS2,SI_TUVIESES_UN_HIJO_QUÉ_TIPO_DE,Edadclases,EDADV2
206,18,Mujer,Estudios Universitarios,Ateo,37,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
207,20,Hombre,Estudios Universitarios,Ateo,27,2,si,Segunda opción,Primera opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Ateo,Segunda opción,Primera opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
208,23,Mujer,Estudios Universitarios,Ateo,27,1,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
209,18,Mujer,Estudios Universitarios,Ateo,32,1,si,Segunda opción,Primera opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Segunda opción,Primera opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
210,33,Mujer,Estudios Universitarios,Creyente,33,3,si,Primera opción,Tercera opción,Segunda opción,Cuarta opción,si,si,no,no,si,no,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,Cuarta opción,Única,30-40,25-35
211,18,Hombre,Estudios Universitarios,Ateo,32,3,si,Primera opción,Tercera opción,Segunda opción,Cuarta opción,si,si,no,si,no,no,Compartida,Hombre,Estudios Universitarios,Ateo,Primera opción,Tercera opción,Segunda opción,Cuarta opción,Compartida,16-20,15-25
212,16,Mujer,Estudios primarios,Ateo,34,2,si,Primera opción,Tercera opción,Segunda opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios primarios,Ateo,Primera opción,Tercera opción,Segunda opción,Cuarta opción,Compartida,,15-25
213,18,Mujer,Estudios secundarios,Agnóstico,28,2,si,Segunda opción,Primera opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Agnóstico,Segunda opción,Primera opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
214,18,Mujer,Estudios Universitarios,Agnóstico,30,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,5,Tercera opción,Compartida,16-20,15-25
215,18,Mujer,Estudios secundarios,Ateo,30,2,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,no,Compartida,Mujer,Estudios secundarios,Ateo,Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
216,56,Hombre,Estudios Universitarios,Creyente,28,2,no,Segunda opción,Primera opción,Tercera opción, ,si,no,no,si,si,si,Única,Hombre,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Tercera opción,5,Única,50-65,55-65
217,51,Mujer,Estudios Universitarios,Creyente,30,2,si,Primera opción,Segunda opción, , ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,5,Compartida,50-65,45-55
218,18,Hombre,Estudios Universitarios,Ateo,28,2,si,Segunda opción,Primera opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Ateo,Segunda opción,Primera opción,Tercera opción,5,Compartida,16-20,15-25
219,34,Mujer,Estudios Universitarios,Creyente,30,2,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,5,Compartida,30-40,25-35
220,35,Mujer,Estudios Universitarios,Creyente,30,3,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,"Compartida, Única",Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,"Compartida, Única",30-40,35-45
221,50,Mujer,Estudios Universitarios,Creyente,30,3,si,Primera opción,Tercera opción, ,Segunda opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Tercera opción,5,Segunda opción,Compartida,50-65,45-55
222,18,Hombre,Estudios secundarios,Creyente,30,2,si,Segunda opción,Tercera opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Hombre,Estudios secundarios,Creyente,Segunda opción,Tercera opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
223,19,Hombre,Estudios secundarios,Creyente,32,4,no,Segunda opción,Primera opción,Tercera opción,Cuarta opción,si,si,no,si,no,no,Compartida,Hombre,Estudios secundarios,Creyente,Segunda opción,Primera opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
224,19,Hombre,Estudios Universitarios,Creyente,28,2,no,Cuarta opción,Primera opción,Segunda opción,Tercera opción,no,no,no,no,si,no,Compartida,Hombre,Estudios Universitarios,Creyente,Cuarta opción,Primera opción,Segunda opción,Tercera opción,Compartida,16-20,15-25
225,18,Mujer,Estudios Universitarios,Ateo,30,3,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
226,18,Mujer,Estudios Universitarios,Creyente,30,3,no,Tercera opción,Segunda opción,Tercera opción,Tercera opción,si,si,no,no,si,si,Compartida,Mujer,Estudios Universitarios,Creyente,Tercera opción,Segunda opción,Tercera opción,Tercera opción,Compartida,16-20,15-25
227,43,Mujer,Estudios Universitarios,Creyente,30,3,no,Segunda opción,Primera opción, , ,si,no,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,5,5,Única,40-50,35-45
228,18,Mujer,Estudios Universitarios,Creyente,29,3,no,Segunda opción,Primera opción,Cuarta opción,Tercera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
229,18,Mujer,Estudios de Formación Profesional,Ateo,28,2,si,Tercera opción,Primera opción,Tercera opción,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Ateo,Tercera opción,Primera opción,Tercera opción,Segunda opción,Compartida,16-20,15-25
230,18,Mujer,Estudios Universitarios,Agnóstico,30,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,no,Única,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Única,16-20,15-25
231,18,Mujer,Estudios Universitarios,Ateo,30,2,si,Tercera opción,Primera opción,Cuarta opción,Segunda opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Ateo,Tercera opción,Primera opción,Cuarta opción,Segunda opción,Compartida,16-20,15-25
232,18,Hombre,Estudios Universitarios,Creyente,32,3,si, ,Primera opción, ,Segunda opción,si,no,no,no,si,no,Única,Hombre,Estudios Universitarios,Creyente,5,Primera opción,5,Segunda opción,Única,16-20,15-25
233,18,Hombre,Estudios Universitarios,Ateo,32,3,si,Primera opción,Tercera opción,Segunda opción,Cuarta opción,si,si,no,si,no,no,Compartida,Hombre,Estudios Universitarios,Ateo,Primera opción,Tercera opción,Segunda opción,Cuarta opción,Compartida,16-20,15-25
234,20,Hombre,Estudios Universitarios,Ateo,30,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
235,18,Mujer,Estudios Universitarios,Creyente,27,6,no,Segunda opción,Primera opción,Tercera opción,Cuarta opción,si,si,no,si,si,no,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
236,30,Mujer,Estudios Universitarios,Creyente,30,3,no,Primera opción,Segunda opción, , ,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,5,Única,30-40,25-35
237,24,Otro,Sin estudios,Creyente,30,,si,Tercera opción,Tercera opción,Tercera opción,Tercera opción,no,si,no,no,no,si,Única,Otro,Sin estudios,Creyente,Tercera opción,Tercera opción,Tercera opción,Tercera opción,Única,20-25,15-25
238,18,Hombre,Estudios secundarios,Creyente,30,2,si,Segunda opción,Primera opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios secundarios,Creyente,Segunda opción,Primera opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
239,18,Mujer,Estudios Universitarios,Creyente,30,3,si,Primera opción,Tercera opción,Segunda opción, ,no,no,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,5,Compartida,16-20,15-25
240,38,Mujer,Estudios Universitarios,Creyente,35,1,si,Primera opción,Segunda opción, , ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,5,Compartida,30-40,35-45
241,36,Mujer,Estudios Universitarios,Creyente,32,3,no,Primera opción,Tercera opción,Segunda opción, ,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,5,Única,30-40,35-45
242,49,Mujer,Estudios Universitarios,Agnóstico,30,2,si,Primera opción,Segunda opción, , ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,5,5,Compartida,40-50,45-55
243,42,Mujer,Estudios Universitarios,Creyente,35,2,no,Primera opción,Segunda opción, , ,si,si,no,si,si,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,5,Compartida,40-50,35-45
244,46,Mujer,Estudios Universitarios,Agnóstico,30,2,si,Primera opción,Tercera opción, ,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Tercera opción,5,Segunda opción,Compartida,40-50,45-55
245,30,Mujer,Estudios Universitarios,Agnóstico,31,2,si,Primera opción,Tercera opción,Segunda opción, ,si,si,no,si,si,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Tercera opción,Segunda opción,5,Compartida,30-40,25-35
246,18,Hombre,Estudios Universitarios,Creyente,30,2,si,Tercera opción,Primera opción,Cuarta opción,Segunda opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Tercera opción,Primera opción,Cuarta opción,Segunda opción,Compartida,16-20,15-25
247,18,Hombre,Estudios Universitarios,Agnóstico,28,2,no, ,Primera opción, , ,si,si,no,no,si,si,Única,Hombre,Estudios Universitarios,Agnóstico,5,Primera opción,5,5,Única,16-20,15-25
248,22,Mujer,Sin estudios,Ateo,34,1,si,Primera opción,Tercera opción,Segunda opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Sin estudios,Ateo,Primera opción,Tercera opción,Segunda opción,Cuarta opción,Compartida,20-25,15-25
249,19,Hombre,Estudios Universitarios,Agnóstico,30,2,si,Primera opción,Segunda opción,Tercera opción, ,si,si,si,si,no,si,Compartida,Hombre,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
250,18,Mujer,Estudios secundarios,Creyente,28,2,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Creyente,Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
251,18,Hombre,Estudios secundarios,Creyente,30,0,no,Segunda opción,Primera opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Hombre,Estudios secundarios,Creyente,Segunda opción,Primera opción,Tercera opción,5,Compartida,16-20,15-25
252,19,Hombre,Estudios Universitarios,Creyente,30,3,si,Segunda opción,Tercera opción,Primera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Segunda opción,Tercera opción,Primera opción,Cuarta opción,Compartida,16-20,15-25
253,26,Mujer,Estudios secundarios,Agnóstico,30,3,si,Primera opción,Primera opción,Segunda opción,Tercera opción,si,si,si,si,no,si,Compartida,Mujer,Estudios secundarios,Agnóstico,Primera opción,Primera opción,Segunda opción,Tercera opción,Compartida,25-30,25-35
254,20,Mujer,Estudios Universitarios,Creyente,35,2,si,Primera opción,Segunda opción,Tercera opción,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Segunda opción,Compartida,20-25,15-25
255,45,Mujer,Estudios de Formación Profesional,Creyente,26,2,si,Primera opción,Primera opción, , ,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Creyente,Primera opción,Primera opción,5,5,Compartida,40-50,45-55
256,18,Mujer,Estudios Universitarios,Creyente,27,3,no,Tercera opción,Primera opción,Cuarta opción,Segunda opción,si,si,no,no,si,si,Única,Mujer,Estudios Universitarios,Creyente,Tercera opción,Primera opción,Cuarta opción,Segunda opción,Única,16-20,15-25
257,59,Mujer,Estudios Universitarios,Creyente,30,0,si,Primera opción,Segunda opción, , ,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,5,Compartida,50-65,55-65
258,20,Hombre,Estudios Universitarios,Ateo,30,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,si,si,no,si,Compartida,Hombre,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
259,41,Mujer,Estudios Universitarios,Creyente,30,3,si,Primera opción,Tercera opción,Segunda opción, ,si,si,no,si,si,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,5,Compartida,40-50,35-45
260,19,Hombre,Estudios secundarios,Agnóstico,30,2,si,Segunda opción,Primera opción, ,Tercera opción,si,si,no,si,si,si,Única,Hombre,Estudios secundarios,Agnóstico,Segunda opción,Primera opción,5,Tercera opción,Única,16-20,15-25
261,28,Mujer,Estudios Universitarios,Creyente,30,3,no, , , , ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,5,5,5,5,Compartida,25-30,25-35
262,18,Mujer,Estudios Universitarios,Ateo,30,3,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,si,no,Única,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Única,16-20,15-25
263,41,Mujer,Estudios Universitarios,Creyente,35,0,no, ,Segunda opción, ,Primera opción,si,si,si,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,5,Segunda opción,5,Primera opción,Compartida,40-50,35-45
264,18,Mujer,Estudios Universitarios,Creyente,26,5,no,Cuarta opción,Primera opción,Tercera opción,Segunda opción,si,no,no,no,si,no,Compartida,Mujer,Estudios Universitarios,Creyente,Cuarta opción,Primera opción,Tercera opción,Segunda opción,Compartida,16-20,15-25
265,51,Mujer,Estudios Universitarios,Agnóstico,30,2,si,Primera opción,Segunda opción,Tercera opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,Tercera opción,Compartida,50-65,45-55
266,20,Hombre,Estudios Universitarios,Ateo,30,3,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
267,37,Mujer,Estudios Universitarios,Creyente,33,2,si,Tercera opción,Segunda opción,Cuarta opción,Primera opción,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Tercera opción,Segunda opción,Cuarta opción,Primera opción,Única,30-40,35-45
268,21,Mujer,Estudios Universitarios,Ateo,28,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
269,22,Mujer,Estudios Universitarios,Creyente,28,2,no,Segunda opción,Primera opción,Tercera opción,Cuarta opción,si,no,no,no,si,no,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Tercera opción,Cuarta opción,Compartida,20-25,15-25
270,19,Mujer,Estudios Universitarios,Creyente,30,0,si,Tercera opción,Primera opción,Cuarta opción,Segunda opción,si,si,si,si,no,no,Única,Mujer,Estudios Universitarios,Creyente,Tercera opción,Primera opción,Cuarta opción,Segunda opción,Única,16-20,15-25
271,20,Mujer,Estudios Universitarios,Ateo,29,3,si,Primera opción,Segunda opción,Tercera opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Tercera opción,Tercera opción,Compartida,20-25,15-25
272,52,Mujer,Estudios Universitarios,Agnóstico,35,3,si,Primera opción,Segunda opción,Tercera opción, ,si,si,si,si,no,si,Única,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,5,Única,50-65,45-55
273,19,Mujer,Estudios Universitarios,Ateo,29,3,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
274,35,Mujer,Estudios Universitarios,Creyente,33,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,30-40,35-45
275,20,Hombre,Estudios Universitarios,Creyente,30,2,no,Primera opción,Segunda opción, ,Tercera opción,si,si,no,no,si,no,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,20-25,15-25
276,20,Hombre,Estudios Universitarios,Creyente,28,3,si,Tercera opción,Segunda opción,Primera opción,Cuarta opción,si,si,no,no,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Tercera opción,Segunda opción,Primera opción,Cuarta opción,Compartida,20-25,15-25
277,19,Mujer,Estudios Universitarios,Ateo,33,2,si,Segunda opción,Tercera opción,Cuarta opción,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Segunda opción,Tercera opción,Cuarta opción,Primera opción,Compartida,16-20,15-25
278,19,Mujer,Estudios de Formación Profesional,Agnóstico,30,0,si,Segunda opción,Primera opción,Tercera opción,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Agnóstico,Segunda opción,Primera opción,Tercera opción,Primera opción,Compartida,16-20,15-25
279,19,Mujer,Estudios Universitarios,Creyente,28,2,no,Primera opción,Segunda opción,Tercera opción,Tercera opción,si,no,no,si,si,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Tercera opción,Compartida,16-20,15-25
280,54,Hombre,Estudios Universitarios,Creyente,35,2,no,Primera opción,Segunda opción,Segunda opción,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Segunda opción,Tercera opción,Compartida,50-65,45-55
281,18,Mujer,Estudios Universitarios,Agnóstico,28,2,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
282,18,Mujer,Estudios secundarios,Ateo,27,2,si,Tercera opción,Segunda opción,Cuarta opción,Primera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios secundarios,Ateo,Tercera opción,Segunda opción,Cuarta opción,Primera opción,Compartida,16-20,15-25
283,19,Hombre,Estudios de Formación Profesional,Creyente,28,0,si,Primera opción,Segunda opción,Tercera opción,Tercera opción,si,si,no,no,no,si,Compartida,Hombre,Estudios de Formación Profesional,Creyente,Primera opción,Segunda opción,Tercera opción,Tercera opción,Compartida,16-20,15-25
284,29,Mujer,Estudios Universitarios,Ateo,30,3,si,Primera opción,Segunda opción, , ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,5,5,Compartida,25-30,25-35
285,18,Mujer,Estudios secundarios,Ateo,26,2,si,Segunda opción,Primera opción,Tercera opción,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Ateo,Segunda opción,Primera opción,Tercera opción,Primera opción,Compartida,16-20,15-25
286,20,Mujer,Estudios Universitarios,Agnóstico,30,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
287,19,Mujer,Estudios Universitarios,Creyente,30,3,si,Primera opción,Segunda opción, ,Tercera opción,si,si,si,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,16-20,15-25
288,36,Hombre,Estudios de Formación Profesional,Ateo,39,0,si,Tercera opción,Segunda opción,Cuarta opción,Primera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios de Formación Profesional,Ateo,Tercera opción,Segunda opción,Cuarta opción,Primera opción,Compartida,30-40,35-45
289,28,Mujer,Estudios Universitarios,Creyente,30,3,si,Primera opción,Tercera opción,Segunda opción, ,si,si,no,no,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,5,Compartida,25-30,25-35
290,18,Mujer,Estudios Universitarios,Agnóstico,30,0,si,Segunda opción,Primera opción, , ,si,si,si,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Segunda opción,Primera opción,5,5,Compartida,16-20,15-25
291,36,Hombre,Estudios Universitarios,Creyente,33,1,si,Primera opción, ,Segunda opción,Tercera opción,si,si,no,si,no,no,Única,Hombre,Estudios Universitarios,Creyente,Primera opción,5,Segunda opción,Tercera opción,Única,30-40,35-45
292,36,Mujer,Estudios Universitarios,Creyente,30,3,no,Primera opción,Segunda opción, , ,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,5,Única,30-40,35-45
293,63,Hombre,Estudios de Formación Profesional,Creyente,25,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,no,Compartida,Hombre,Estudios de Formación Profesional,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,50-65,55-65
294,59,Mujer,Estudios Universitarios,Creyente,27,3,no, ,Primera opción, , ,no,no,no,no,si,si,Compartida,Mujer,Estudios Universitarios,Creyente,5,Primera opción,5,5,Compartida,50-65,55-65
295,46,Hombre,Estudios de Formación Profesional,Creyente,30,2,si,Primera opción,Primera opción,Primera opción, ,si,si,no,si,no,si,Compartida,Hombre,Estudios de Formación Profesional,Creyente,Primera opción,Primera opción,Primera opción,5,Compartida,40-50,45-55
296,22,Mujer,Estudios Universitarios,Agnóstico,30,3,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,20-25,15-25
297,46,Mujer,Estudios Universitarios,Creyente,30,3,no,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,40-50,45-55
298,24,Hombre,Estudios Universitarios,Ateo,35,2,si,Primera opción,Tercera opción,Segunda opción, ,si,si,si,si,no,no,Compartida,Hombre,Estudios Universitarios,Ateo,Primera opción,Tercera opción,Segunda opción,5,Compartida,20-25,15-25
299,24,Mujer,Estudios de Formación Profesional,Agnóstico,28,2,si,Tercera opción,Primera opción,Segunda opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Agnóstico,Tercera opción,Primera opción,Segunda opción,Cuarta opción,Compartida,20-25,15-25
300,39,Mujer,Estudios Universitarios,Creyente,32,2,no,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Única,30-40,35-45
301,19,Mujer,Estudios Universitarios,Agnóstico,29,4,si,Segunda opción,Primera opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Segunda opción,Primera opción,Tercera opción,5,Compartida,16-20,15-25
302,18,Mujer,Estudios Universitarios,Creyente,30,2,si,Segunda opción,Primera opción,Tercera opción,Tercera opción,si,si,si,si,si,si,Única,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Tercera opción,Tercera opción,Única,16-20,15-25
303,19,Mujer,Estudios Universitarios,Creyente,29,3,si,Segunda opción,Primera opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
304,44,Mujer,Estudios Universitarios,Creyente,30,3,si,Primera opción, , , ,si,si,no,si,si,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,5,5,5,Compartida,40-50,35-45
305,46,Mujer,Estudios Universitarios,Creyente,32,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,40-50,45-55
306,23,Mujer,Estudios Universitarios,Creyente,29,2,no,Tercera opción,Primera opción,Cuarta opción,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Tercera opción,Primera opción,Cuarta opción,Segunda opción,Compartida,20-25,15-25
307,42,Mujer,Estudios Universitarios,Creyente,31,2,si,Primera opción, , ,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,5,5,Segunda opción,Compartida,40-50,35-45
308,23,Mujer,Estudios Universitarios,Creyente,28,2,si,Segunda opción,Tercera opción,Cuarta opción,Primera opción,no,no,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Tercera opción,Cuarta opción,Primera opción,Compartida,20-25,15-25
309,21,Mujer,Estudios de Formación Profesional,Agnóstico,30,2,si,Primera opción,Segunda opción,Tercera opción,Tercera opción,si,si,no,si,no,si,Única,Mujer,Estudios de Formación Profesional,Agnóstico,Primera opción,Segunda opción,Tercera opción,Tercera opción,Única,20-25,15-25
310,18,Mujer,Estudios Universitarios,Agnóstico,30,3,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
311,62,Mujer,Estudios primarios,Agnóstico,30,1,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios primarios,Agnóstico,Primera opción,Segunda opción,5,Tercera opción,Compartida,50-65,55-65
